opt_algorithm,minmax,L,threshold,lgs,area,cgal_area,pick_area,ratio,ratio_change,time,is_simple,points,points_on_poly,in_file
simulated_annealing,max,10000,-1,3,36822890,36822890,-1,0.879772,-1.000000,0.172,1,15,15,euro-night-0000015
simulated_annealing,min,1000,-1,3,24255714,24255714,-1,0.346985,-1.000000,0.46,1,15,15,us-night-0000015
simulated_annealing,min,5000,-1,3,24255714,24255714,-1,0.346985,-1.000000,0.3,1,15,15,us-night-0000015
simulated_annealing,min,10000,-1,3,24255714,24255714,-1,0.346985,-1.000000,0.306,1,15,15,us-night-0000015
simulated_annealing,max,1000,-1,3,57953642,57953642,-1,0.829044,-1.000000,0.191,1,15,15,us-night-0000015
simulated_annealing,max,5000,-1,3,57953642,57953642,-1,0.829044,-1.000000,0.192,1,15,15,us-night-0000015
simulated_annealing,max,10000,-1,3,57953642,57953642,-1,0.829044,-1.000000,0.191,1,15,15,us-night-0000015
simulated_annealing,min,1000,-1,3,120428,120428,-1,0.284125,-1.000000,0.186,1,15,15,uniform-0000015-1
simulated_annealing,min,5000,-1,3,120428,120428,-1,0.284125,-1.000000,0.199,1,15,15,uniform-0000015-1
simulated_annealing,min,10000,-1,3,120428,120428,-1,0.284125,-1.000000,0.178,1,15,15,uniform-0000015-1
simulated_annealing,max,1000,-1,3,351560,351560,-1,0.829433,-1.000000,0.302,1,15,15,uniform-0000015-1
simulated_annealing,max,5000,-1,3,351560,351560,-1,0.829433,-1.000000,0.417,1,15,15,uniform-0000015-1
simulated_annealing,max,10000,-1,3,351560,351560,-1,0.829433,-1.000000,0.191,1,15,15,uniform-0000015-1
simulated_annealing,min,1000,-1,3,52221292068,52221292068,-1,0.343392,-1.000000,0.166,1,15,15,stars-0000015
simulated_annealing,min,5000,-1,3,52221292068,52221292068,-1,0.343392,-1.000000,0.247,1,15,15,stars-0000015
simulated_annealing,min,10000,-1,3,52221292068,52221292068,-1,0.343392,-1.000000,0.164,1,15,15,stars-0000015
simulated_annealing,max,1000,-1,3,138592879472,138592879472,-1,0.911346,-1.000000,0.2,1,15,15,stars-0000015
